t_s,t_capture,in_J3_deg,filt_J3_deg,target_J3_deg,cmd_J3_deg,act_J3_deg,ratelim_J3,rangeclamp_J3,halted_J3
0.160741,1788209082.374770,-8.0541,-3.1925,-3.1925,-2.0778,-0.4803,1,0,0
0.168352,1788209082.374770,-8.0541,-3.4329,-3.4329,-2.1978,-0.5790,1,0,0
0.177396,1788209082.383389,-7.9900,-3.6751,-3.6751,-2.3178,-0.6782,1,0,0
0.184081,1788209082.391426,-8.4017,-3.9106,-3.9106,-2.4378,-0.7821,1,0,0
0.192947,1788209082.399963,-9.1087,-4.1853,-4.1853,-2.5578,-0.8875,1,0,0
0.201348,1788209082.408569,-9.3197,-4.4591,-4.4591,-2.6778,-0.9991,1,0,0
0.209042,1788209082.417054,-9.4127,-4.7201,-4.7201,-2.7978,-1.1106,1,0,0
0.217039,1788209082.424150,-9.8568,-4.9489,-4.9489,-2.9178,-1.2270,1,0,0
0.225284,1788209082.432582,-10.2899,-5.2295,-5.2295,-3.0378,-1.3467,1,0,0
0.233287,1788209082.441322,-10.7199,-5.5284,-5.5284,-3.1578,-1.4665,1,0,0
0.240662,1788209082.449363,-11.0166,-5.8049,-5.8049,-3.2778,-1.5889,1,0,0
0.248628,1788209082.457611,-11.4195,-6.0951,-6.0951,-3.3978,-1.7094,1,0,0
0.256873,1788209082.465680,-11.5543,-6.3718,-6.3718,-3.5178,-1.8270,1,0,0
0.265385,1788209082.475412,-12.0143,-6.7135,-6.7135,-3.6378,-1.9473,1,0,0
0.272483,1788209082.482414,-12.2955,-6.9614,-6.9614,-3.7578,-2.0677,1,0,0
0.281395,1788209082.491422,-12.3347,-7.2646,-7.2646,-3.8778,-2.1888,1,0,0
0.288893,1788209082.500461,-12.6913,-7.5722,-7.5722,-3.9978,-2.3113,1,0,0
0.297426,1788209082.507940,-13.2315,-7.8406,-7.8406,-4.1178,-2.4359,1,0,0
0.305048,1788209082.516545,-13.3352,-8.1385,-8.1385,-4.2378,-2.5582,1,0,0
0.313763,1788209082.524876,-13.6913,-8.4308,-8.4308,-4.3578,-2.6848,1,0,0
0.320760,1788209082.533875,-13.9726,-8.7447,-8.7447,-4.4778,-2.8085,1,0,0
0.329083,1788209082.540910,-13.8239,-8.9727,-8.9727,-4.5978,-2.9308,1,0,0
0.337083,1788209082.549133,-13.9135,-9.2301,-9.2301,-4.7178,-3.0531,1,0,0
0.345686,1788209082.557805,-14.8561,-9.5385,-9.5385,-4.8378,-3.1767,1,0,0
0.353683,1788209082.566713,-14.8921,-9.8397,-9.8397,-4.9578,-3.2696,1,0,0
0.361384,1788209082.574408,-14.8606,-10.0857,-10.0857,-5.0778,-3.4208,1,0,0
0.369449,1788209082.582425,-15.6581,-10.3699,-10.3699,-5.1978,-3.5431,1,0,0
0.377394,1788209082.582425,-15.6581,-10.6391,-10.6391,-5.3178,-3.6614,1,0,0
0.385897,1788209082.591423,-15.2929,-10.9039,-10.9039,-5.4378,-3.7804,1,0,0
0.394076,1788209082.599927,-15.9805,-11.1778,-11.1778,-5.5578,-3.8999,1,0,0
0.401763,1788209082.608105,-15.7706,-11.4166,-11.4166,-5.6778,-4.0222,1,0,0
0.409271,1788209082.616295,-16.2785,-11.6698,-11.6698,-5.7978,-4.1405,1,0,0
0.417395,1788209082.624298,-16.1263,-11.8969,-11.8969,-5.9178,-4.2635,1,0,0
0.425396,1788209082.632424,-16.5015,-12.1349,-12.1349,-6.0378,-4.3866,1,0,0
0.433851,1788209082.640511,-16.6812,-12.3689,-12.3689,-6.1578,-4.4471,1,0,0
0.441851,1788209082.649984,-16.4632,-12.6134,-12.6134,-6.2778,-4.4471,1,0,0
0.449923,1788209082.658924,-16.6735,-12.8429,-12.8429,-6.3978,-4.7528,1,0,0
0.457921,1788209082.665951,-17.0770,-13.0333,-13.0333,-6.5178,-4.8731,1,0,0
0.465433,1788209082.674025,-17.5833,-13.2669,-13.2669,-6.6378,-4.9912,1,0,0
0.473638,1788209082.683462,-17.6726,-13.5289,-13.5289,-6.7578,-5.1066,1,0,0
0.481644,1788209082.690684,-17.5127,-13.7127,-13.7127,-6.8778,-5.2221,1,0,0
0.489237,1788209082.699773,-17.7464,-13.9441,-13.9441,-6.9978,-5.3326,1,0,0
0.497899,1788209082.707927,-17.6384,-14.1353,-14.1353,-7.1178,-5.4433,1,0,0
0.505910,1788209082.716445,-18.2993,-14.3598,-14.3598,-7.2378,-5.5539,1,0,0
0.513916,1788209082.725023,-18.0010,-14.5573,-14.5573,-7.3578,-5.6653,1,0,0
0.521852,1788209082.733375,-18.0151,-14.7401,-14.7401,-7.4778,-5.7802,1,0,0
0.528864,1788209082.740975,-18.5957,-14.9264,-14.9264,-7.5978,-5.8937,1,0,0
0.537632,1788209082.749152,-17.9896,-15.0850,-15.0850,-7.7178,-6.0092,1,0,0
0.545894,1788209082.758010,-17.7520,-15.2337,-15.2337,-7.8378,-6.1273,1,0,0
0.553892,1788209082.766922,-18.5108,-15.4174,-15.4174,-7.9578,-6.2407,1,0,0
0.562129,1788209082.774150,-18.0927,-15.5403,-15.5403,-8.0778,-6.3559,1,0,0
0.569680,1788209082.782795,-18.1397,-15.6816,-15.6816,-8.1978,-6.4740,1,0,0
0.577343,1788209082.791372,-18.3431,-15.8251,-15.8251,-8.3178,-6.5886,1,0,0
0.585342,1788209082.791372,-18.3431,-15.9521,-15.9521,-8.4378,-6.7039,1,0,0
0.594004,1788209082.800368,-18.1263,-16.0744,-16.0744,-8.5578,-6.8212,1,0,0
0.602310,1788209082.808033,-18.4738,-16.1904,-16.1904,-8.6778,-6.9358,1,0,0
0.609548,1788209082.816339,-18.5751,-16.3146,-16.3146,-8.7978,-7.0552,1,0,0
0.618161,1788209082.824646,-18.1231,-16.4088,-16.4088,-8.9178,-7.1684,1,0,0
0.626902,1788209082.833882,-18.1771,-16.5104,-16.5104,-9.0378,-7.2844,1,0,0
0.633896,1788209082.840932,-18.6170,-16.6040,-16.6040,-9.1578,-7.4010,1,0,0
0.642112,1788209082.850010,-18.2258,-16.6955,-16.6955,-9.2778,-7.5204,1,0,0
0.650116,1788209082.858222,-18.4852,-16.7873,-16.7873,-9.3978,-7.6385,1,0,0
0.657794,1788209082.866252,-18.3730,-16.8668,-16.8668,-9.5178,-7.7572,1,0,0
0.666477,1788209082.874461,-18.0308,-16.9263,-16.9263,-9.6378,-7.8773,1,0,0
0.673432,1788209082.882544,-17.4616,-16.9532,-16.9532,-9.7578,-7.9980,1,0,0
0.681834,1788209082.890752,-17.9729,-17.0052,-17.0052,-9.8778,-8.1181,1,0,0
0.689826,1788209082.898851,-18.5698,-17.0839,-17.0839,-9.9978,-8.2389,1,0,0
0.698610,1788209082.908025,-18.4108,-17.1589,-17.1589,-10.1178,-8.3582,1,0,0
0.706628,1788209082.916732,-18.0734,-17.2080,-17.2080,-10.2378,-8.4783,1,0,0
0.714324,1788209082.924784,-17.8326,-17.2392,-17.2392,-10.3578,-8.5998,1,0,0
0.722944,1788209082.932979,-17.9785,-17.2766,-17.2766,-10.4778,-8.7493,1,0,0
0.730977,1788209082.941496,-17.9722,-17.3131,-17.3131,-10.5978,-8.8392,1,0,0
0.738976,1788209082.950014,-17.6489,-17.3307,-17.3307,-10.7178,-8.9545,1,0,0
0.746550,1788209082.957016,-17.7902,-17.3506,-17.3506,-10.8378,-9.0731,1,0,0
0.754548,1788209082.966576,-17.5777,-17.3638,-17.3638,-10.9578,-9.2221,1,0,0
0.762654,1788209082.975676,-17.5854,-17.3762,-17.3762,-11.0778,-9.3077,1,0,0
0.770661,1788209082.982687,-17.3304,-17.3742,-17.3742,-11.1978,-9.4581,1,0,0
0.778862,1788209082.991196,-16.9480,-17.3520,-17.3520,-11.3178,-9.5481,1,0,0
0.786868,1788209082.999901,-16.9253,-17.3294,-17.3294,-11.4378,-9.6997,1,0,0
0.794375,1788209083.008405,-16.8330,-17.3037,-17.3037,-11.5578,-9.8218,1,0,0
0.802626,1788209083.015646,-16.5899,-17.2720,-17.2720,-11.6778,-9.9434,1,0,0
0.810626,1788209083.023652,-16.7573,-17.2469,-17.2469,-11.7978,-10.0662,1,0,0
0.818486,1788209083.023652,-16.7573,-17.2230,-17.2230,-11.9178,-10.1891,1,0,0
0.827039,1788209083.033473,-16.6779,-17.1909,-17.1909,-12.0378,-10.3085,1,0,0
0.835265,1788209083.041069,-16.3772,-17.1533,-17.1533,-12.1578,-10.4307,1,0,0
0.843315,1788209083.049294,-16.3246,-17.1120,-17.1120,-12.2778,-10.5474,1,0,0
0.850885,1788209083.057344,-15.7673,-17.0465,-17.0465,-12.3978,-10.6689,1,0,0
0.858887,1788209083.066908,-15.7738,-16.9736,-16.9736,-12.5178,-10.7856,1,0,0
0.866987,1788209083.073914,-15.3225,-16.9034,-16.9034,-12.6378,-10.9044,1,0,0
0.874987,1788209083.082109,-15.4056,-16.8295,-16.8295,-12.7578,-10.9943,1,0,0
0.883149,1788209083.092624,-14.7641,-16.7008,-16.7008,-12.8778,-11.1426,1,0,0
0.891148,1788209083.099215,-14.8941,-16.6287,-16.6287,-12.9978,-11.2607,1,0,0
0.898929,1788209083.108194,-14.1852,-16.4980,-16.4980,-13.1178,-11.3809,1,0,0
0.906691,1788209083.117617,-13.9487,-16.3554,-16.3554,-13.2378,-11.5009,1,0,0
0.914488,1788209083.124695,-13.8838,-16.2500,-16.2500,-13.3578,-11.6232,1,0,0
0.923496,1788209083.133524,-13.7125,-16.1162,-16.1162,-13.4778,-11.7453,1,0,0
0.930018,1788209083.140526,-13.5089,-16.0058,-16.0058,-13.5978,-11.8654,1,0,0
0.939707,1788209083.149731,-13.1826,-15.8504,-15.8504,-13.7178,-11.9863,1,0,0
0.947209,1788209083.157740,-12.7166,-15.6990,-15.6990,-13.8378,-12.1064,1,0,0
0.955513,1788209083.166635,-12.9750,-15.5534,-15.5534,-13.9578,-12.1943,1,0,0
0.963512,1788209083.175630,-12.8254,-15.4058,-15.4058,-14.0778,-12.3433,1,0,0
0.971126,1788209083.183172,-12.2211,-15.2599,-15.2599,-14.1978,-12.4592,1,0,0
0.979127,1788209083.191229,-11.9906,-15.1000,-15.1000,-14.3178,-12.5801,1,0,0
0.987063,1788209083.200186,-11.4406,-14.9019,-14.9019,-14.4378,-12.6961,1,0,0
0.995149,1788209083.208178,-11.5327,-14.7379,-14.7379,-14.5578,-12.8162,1,0,0
1.002946,1788209083.216975,-10.9549,-14.5358,-14.5358,-14.5358,-12.9385,0,0,0
1.011028,1788209083.224063,-10.5497,-14.3622,-14.3622,-14.4158,-13.0559,1,0,0
1.019536,1788209083.232584,-10.3759,-14.1549,-14.1549,-14.2958,-13.1794,1,0,0
1.027535,1788209083.232584,-10.3759,-13.9696,-13.9696,-14.1758,-13.2987,1,0,0
1.034683,1788209083.241565,-10.5038,-13.7797,-13.7797,-14.0558,-13.4101,1,0,0
1.042859,1788209083.249937,-9.5219,-13.5611,-13.5611,-13.9358,-13.5182,1,0,0
1.052009,1788209083.258888,-9.5851,-13.3433,-13.3433,-13.8158,-13.6102,1,0,0
1.059072,1788209083.266038,-8.7304,-13.1389,-13.1389,-13.6958,-13.6940,1,0,0
1.066448,1788209083.274123,-8.4900,-12.9068,-12.9068,-13.5758,-13.7578,1,0,0
1.075256,1788209083.282270,-9.1018,-12.7153,-12.7153,-13.4558,-13.7977,1,0,0
1.083403,1788209083.290377,-8.2031,-12.4890,-12.4890,-13.3358,-13.8443,1,0,0
1.090910,1788209083.300034,-7.9286,-12.2187,-12.2187,-13.2158,-13.8698,1,0,0
1.099137,1788209083.308025,-6.9456,-11.9570,-11.9570,-13.0958,-13.8809,1,0,0
1.107428,1788209083.316935,-7.0028,-11.6841,-11.6841,-12.9758,-13.8789,1,0,0
1.116030,1788209083.324551,-6.5223,-11.4386,-11.4386,-12.8558,-13.8689,1,0,0
1.123641,1788209083.332761,-5.8796,-11.1541,-11.1541,-12.7358,-13.8464,1,0,0
1.130643,1788209083.341759,-5.7739,-10.8535,-10.8535,-12.6158,-13.8151,1,0,0
1.139921,1788209083.349902,-5.7593,-10.5942,-10.5942,-12.4958,-13.7868,1,0,0
1.147835,1788209083.357947,-4.9474,-10.3095,-10.3095,-12.3758,-13.7244,1,0,0
1.155088,1788209083.366038,-4.3512,-10.0070,-10.0070,-12.2558,-13.6651,1,0,0
1.163009,1788209083.375124,-4.3132,-9.6841,-9.6841,-12.1358,-13.5981,1,0,0
1.171249,1788209083.382385,-3.8079,-9.4141,-9.4141,-12.0158,-13.5389,1,0,0
1.179605,1788209083.390723,-3.2663,-9.0915,-9.0915,-11.8958,-13.4376,1,0,0
1.187279,1788209083.398727,-2.6784,-8.7672,-8.7672,-11.7758,-13.3475,1,0,0
1.195283,1788209083.408399,-2.3611,-8.3795,-8.3795,-11.6558,-13.2546,1,0,0
1.203804,1788209083.415836,-2.0663,-8.0809,-8.0809,-11.5358,-13.1605,1,0,0
1.211804,1788209083.423918,-2.0501,-7.7719,-7.7719,-11.4158,-13.0841,1,0,0
1.219192,1788209083.433221,-1.0105,-7.3756,-7.3756,-11.2958,-12.9599,1,0,0
1.227192,1788209083.441221,-0.8429,-7.0432,-7.0432,-11.1758,-12.8568,1,0,0
1.235642,1788209083.441221,-0.8429,-6.7273,-6.7273,-11.0558,-12.7518,1,0,0
1.243746,1788209083.449672,-0.6073,-6.3985,-6.3985,-10.9358,-12.6418,1,0,0
1.251156,1788209083.457775,-0.4509,-6.0912,-6.0912,-10.8158,-12.5329,1,0,0
1.259254,1788209083.466774,0.5861,-5.7099,-5.7099,-10.6958,-12.4236,1,0,0
1.266954,1788209083.474892,0.7155,-5.3767,-5.3767,-10.5758,-12.3111,1,0,0
1.275799,1788209083.484142,1.2732,-4.9862,-4.9862,-10.4558,-12.1977,1,0,0
1.283795,1788209083.491920,1.7588,-4.6497,-4.6497,-10.3358,-12.0811,1,0,0
1.291494,1788209083.500505,2.1745,-4.2753,-4.2753,-10.2158,-11.9643,1,0,0
1.299993,1788209083.507595,2.2787,-3.9752,-3.9752,-10.0958,-11.8468,1,0,0
1.308214,1788209083.516113,2.8739,-3.6014,-3.6014,-9.9758,-11.7253,1,0,0
1.315907,1788209083.524926,3.7869,-3.1845,-3.1845,-9.8558,-11.6044,1,0,0
1.324205,1788209083.534218,4.4518,-2.7312,-2.7312,-9.7358,-11.4815,1,0,0
1.332287,1788209083.540322,4.6535,-2.4366,-2.4366,-9.6158,-11.3623,1,0,0
1.339638,1788209083.549907,4.9648,-1.9830,-1.9830,-9.4958,-11.2408,1,0,0
1.347640,1788209083.558669,5.3052,-1.5722,-1.5722,-9.3758,-11.1211,1,0,0
1.355937,1788209083.567255,5.6767,-1.1711,-1.1711,-9.2558,-11.0032,1,0,0
1.363938,1788209083.575053,6.2542,-0.7955,-0.7955,-9.1358,-10.8843,1,0,0
1.372205,1788209083.582967,7.3117,-0.3790,-0.3790,-9.0158,-10.7641,1,0,0
1.380209,1788209083.591327,7.0087,0.0211,0.0211,-8.8958,-10.6425,1,0,0
1.388176,1788209083.599328,7.8499,0.4283,0.4283,-8.7758,-10.5506,1,0,0
1.395890,1788209083.608004,8.7087,0.8938,0.8938,-8.6558,-10.3989,1,0,0
1.404218,1788209083.616745,8.7347,1.3380,1.3380,-8.5358,-10.2776,1,0,0
1.411673,1788209083.625702,8.8089,1.7714,1.7714,-8.4158,-10.1542,1,0,0
1.419480,1788209083.633509,9.7167,2.1766,2.1766,-8.2958,-10.0325,1,0,0
1.427851,1788209083.640884,10.0165,2.5558,2.5558,-8.1758,-9.9131,1,0,0
1.435845,1788209083.649874,10.3559,3.0111,3.0111,-8.0558,-9.7902,1,0,0
1.444074,1788209083.658103,10.8634,3.4331,3.4331,-7.9358,-9.6688,1,0,0
1.452075,1788209083.666104,11.3749,3.8491,3.8491,-7.8158,-9.5494,1,0,0
1.460734,1788209083.666104,11.3749,4.2435,4.2435,-7.6958,-9.4272,1,0,0
1.468732,1788209083.674763,11.9139,4.6769,4.6769,-7.5758,-9.3113,1,0,0
1.475422,1788209083.683839,12.4141,5.1339,5.1339,-7.4558,-9.1899,1,0,0
1.484176,1788209083.691190,13.1003,5.5199,5.5199,-7.3358,-9.0712,1,0,0
1.492457,1788209083.699208,13.4453,5.9371,5.9371,-7.2158,-8.9552,1,0,0
1.499958,1788209083.707481,13.5544,6.3504,6.3504,-7.0958,-8.8344,1,0,0
1.508229,1788209083.715994,14.3348,6.7956,6.7956,-6.9758,-8.7171,1,0,0
1.515851,1788209083.724971,14.6435,7.2558,7.2558,-6.8558,-8.5950,1,0,0
1.524356,1788209083.732972,15.7133,7.7011,7.7011,-6.7358,-8.4763,1,0,0
1.531919,1788209083.741393,16.0815,8.1645,8.1645,-6.6158,-8.3535,1,0,0
1.540226,1788209083.749761,16.6810,8.6330,8.6330,-6.4958,-8.2306,1,0,0
1.548028,1788209083.758066,16.8740,9.0834,9.0834,-6.3758,-8.1112,1,0,0
1.556090,1788209083.766072,16.8636,9.4943,9.4943,-6.2558,-7.9871,1,0,0
1.564204,1788209083.774321,17.7391,9.9424,9.9424,-6.1358,-7.8670,1,0,0
1.572266,1788209083.783237,18.0588,10.4173,10.4173,-6.0158,-7.7442,1,0,0
1.580490,1788209083.791527,18.8631,10.8789,10.8789,-5.8958,-7.6268,1,0,0
1.588489,1788209083.800607,19.1155,11.3694,11.3694,-5.7758,-7.5103,1,0,0
1.596262,1788209083.808296,19.3203,11.7744,11.7744,-5.6558,-7.3882,1,0,0
1.605012,1788209083.817130,19.6415,12.2312,12.2312,-5.5358,-7.2398,1,0,0
1.612267,1788209083.825206,20.2051,12.6567,12.6567,-5.4158,-7.1513,1,0,0
1.620853,1788209083.832275,20.7525,13.0379,13.0379,-5.2958,-7.0299,1,0,0
1.628455,1788209083.840470,21.5112,13.4972,13.4972,-5.1758,-6.9134,1,0,0
1.636539,1788209083.849572,21.4236,13.9714,13.9714,-5.0558,-6.7919,1,0,0
1.644193,1788209083.858222,21.9099,14.4241,14.4241,-4.9358,-6.6711,1,0,0
1.652117,1788209083.858222,21.9099,14.8206,14.8206,-4.8158,-6.5538,1,0,0
1.660530,1788209083.874559,22.8548,15.6410,15.6410,-4.6958,-6.4015,1,0,0
1.669186,1788209083.874559,22.8548,16.0215,16.0215,-4.5758,-6.2813,1,0,0
1.676188,1788209083.883215,23.7493,16.4607,16.4607,-4.4558,-6.1613,1,0,0
1.685027,1788209083.892277,23.8995,16.9020,16.9020,-4.3358,-6.0389,1,0,0
1.692715,1788209083.899670,23.8777,17.2435,17.2435,-4.2158,-5.9152,1,0,0
1.700511,1788209083.908330,24.6132,17.6624,17.6624,-4.0958,-5.7970,1,0,0
1.708593,1788209083.916614,25.2530,18.0763,18.0763,-3.9758,-5.6794,1,0,0
1.716770,1788209083.925062,25.6735,18.4983,18.4983,-3.8558,-5.5620,1,0,0
1.724362,1788209083.932886,25.6141,18.8659,18.8659,-3.7358,-5.4430,1,0,0
1.733146,1788209083.941752,26.4085,19.3044,19.3044,-3.6158,-5.3247,1,0,0
1.741145,1788209083.949262,26.4354,19.6588,19.6588,-3.4958,-5.2347,1,0,0
1.748441,1788209083.958254,26.9646,20.0891,20.0891,-3.3758,-5.0834,1,1,0
1.756356,1788209083.966489,27.6707,20.5002,20.5002,-3.2558,-4.9652,1,1,0
1.764610,1788209083.975970,27.2695,20.9190,20.9190,-3.1358,-4.8456,1,1,0
1.773524,1788209083.983562,28.3423,21.2914,21.2914,-3.0158,-4.7240,1,1,0
1.780609,1788209083.990634,28.7727,21.6426,21.6426,-2.8958,-4.6010,1,1,0
1.788620,1788209083.999731,29.6086,22.1171,22.1171,-2.7758,-4.4806,1,1,0
1.797063,1788209084.008646,29.3748,22.5412,22.5412,-2.6558,-4.4806,1,1,0
1.804927,1788209084.016927,29.7924,22.9364,22.9364,-2.5358,-4.2353,1,1,0
1.812909,1788209084.023941,30.2390,23.2766,23.2766,-2.4158,-4.1192,1,1,0
1.821433,1788209084.033462,30.2980,23.7129,23.7129,-2.2958,-3.9982,1,1,0
1.828432,1788209084.040468,30.7539,24.0404,24.0404,-2.1758,-3.8805,1,1,0
1.837375,1788209084.050403,31.2912,24.5091,24.5091,-2.0558,-3.7624,1,1,0
1.845374,1788209084.057404,32.0172,24.8581,24.8581,-1.9358,-3.6421,1,1,0
1.852905,1788209084.065942,32.0803,25.2632,25.2632,-1.8158,-3.5217,1,1,0
1.860913,1788209084.073943,32.0748,25.6225,25.6225,-1.6958,-3.4332,1,1,0
1.869105,1788209084.082134,32.5160,25.9942,25.9942,-1.5758,-3.2847,1,1,0
1.877107,1788209084.082134,32.5160,26.3380,26.3380,-1.4558,-3.1616,1,1,0
1.885320,1788209084.091136,33.1094,26.7367,26.7367,-1.3358,-3.0400,1,1,0
1.893065,1788209084.099350,33.3178,27.0921,27.0921,-1.2158,-2.9191,1,1,0
1.901613,1788209084.108086,33.8005,27.4758,27.4758,-1.0958,-2.7987,1,1,0
1.909616,1788209084.116731,34.1935,27.8561,27.8561,-0.9758,-2.6784,1,1,0
1.917761,1788209084.125731,34.4442,28.2431,28.2431,-0.8558,-2.5575,1,1,0
1.925659,1788209084.132790,34.5992,28.5399,28.5399,-0.7358,-2.4385,1,1,0
1.932292,1788209084.141776,34.9167,28.9138,28.9138,-0.6158,-2.3476,1,1,0
1.941573,1788209084.149043,36.0226,29.2549,29.2549,-0.4958,-2.1984,1,1,0
1.948573,1788209084.157602,35.8165,29.6224,29.6224,-0.3758,-2.0794,1,1,0
1.957438,1788209084.166405,35.8247,29.9789,29.9789,-0.2558,-1.9639,1,1,0
1.965438,1788209084.174509,35.9399,30.2956,30.2956,-0.1358,-1.8435,1,1,0
1.973085,1788209084.183121,36.1511,30.6248,30.6248,-0.0158,-1.7568,1,1,0
1.981015,1788209084.191125,36.2460,30.9195,30.9195,0.1042,-1.6041,1,1,0
1.989390,1788209084.199472,36.9072,31.2460,31.2460,0.2242,-1.4858,1,1,0
1.997393,1788209084.207488,36.9280,31.5440,31.5440,0.3442,-1.3654,1,1,0
2.005447,1788209084.215572,37.2586,31.8459,31.8459,0.4642,-1.2444,1,1,0
2.013449,1788209084.225673,37.5308,32.2158,32.2158,0.5842,-1.1219,1,1,0
2.021723,1788209084.232733,37.4958,32.4607,32.4607,0.7042,-1.0029,1,1,0
2.029718,1788209084.240811,37.7485,32.7392,32.7392,0.8242,-0.8791,1,1,0
2.037007,1788209084.250019,38.2953,33.0701,33.0701,0.9442,-0.7588,1,1,0
2.045099,1788209084.257061,38.4750,33.3197,33.3197,1.0642,-0.6412,1,1,0
2.053357,1788209084.257061,38.4750,33.5883,33.5883,1.1842,-0.5214,1,1,0
2.061168,1788209084.275197,38.3575,34.1141,34.1141,1.3042,-0.3997,1,1,0
2.069675,1788209084.282199,38.9541,34.3350,34.3350,1.4242,-0.2815,1,1,0
2.077406,1788209084.291435,39.0510,34.6145,34.6145,1.5442,-0.1638,1,1,0
2.085786,1788209084.291435,39.0510,34.8440,34.8440,1.6642,-0.0420,1,1,0
2.093654,1788209084.299816,39.0471,35.0709,35.0709,1.7842,0.0750,1,1,0
2.102598,1788209084.308652,39.5099,35.3226,35.3226,1.9042,0.1959,1,1,0
2.109795,1788209084.316132,40.0188,35.5499,35.5499,2.0242,0.3156,1,1,0
2.117714,1788209084.324831,39.8243,35.7884,35.7884,2.1442,0.4367,1,1,0
2.125946,1788209084.333261,40.0972,36.0216,36.0216,2.2642,0.5267,1,1,0
2.133944,1788209084.341096,40.1794,36.2314,36.2314,2.3842,0.6781,1,1,0
2.141495,1788209084.350661,40.4652,36.4890,36.4890,2.5042,0.8006,1,1,0
2.149585,1788209084.358634,40.3684,36.6876,36.6876,2.6242,0.9229,1,1,0
2.157661,1788209084.366630,40.5498,36.8858,36.8858,2.7442,1.0447,1,1,0
2.165666,1788209084.374782,40.9971,37.1004,37.1004,2.8642,1.1665,1,1,0
2.173564,1788209084.383782,41.3328,37.3429,37.3429,2.9842,1.2884,1,1,0
2.181996,1788209084.391110,41.1901,37.5242,37.5242,3.1042,1.4060,1,1,0
2.189611,1788209084.399120,40.9051,37.6974,37.6974,3.2242,1.4934,1,1,0
2.197706,1788209084.407725,41.1828,37.8884,37.8884,3.3442,1.6434,1,1,0
2.204789,1788209084.417023,41.3808,38.0939,38.0939,3.4642,1.7584,1,1,0
2.213544,1788209084.424646,41.1419,38.2424,38.2424,3.5842,1.8790,1,1,0
2.222142,1788209084.432668,41.5361,38.4108,38.4108,3.7042,1.9965,1,1,0
2.229838,1788209084.440934,41.4159,38.5686,38.5686,3.8242,2.1176,1,1,0
2.237901,1788209084.448936,41.3550,38.7104,38.7104,3.9442,2.2381,1,1,0
2.246603,1788209084.457716,41.6678,38.8744,38.8744,4.0642,2.3572,1,1,0
2.254600,1788209084.466712,41.8179,39.0414,39.0414,4.1842,2.4832,1,1,0
2.262216,1788209084.474567,41.2093,39.1493,39.1493,4.3042,2.6008,1,1,0
2.270223,1788209084.483252,41.2631,39.2650,39.2650,4.4242,2.7240,1,1,0
2.278505,1788209084.491559,41.8282,39.3993,39.3993,4.5442,2.8458,1,1,0
2.286484,1788209084.491559,41.8282,39.5219,39.5219,4.6642,2.9621,1,1,0
2.294008,1788209084.500513,41.0839,39.6096,39.6096,4.7842,3.0798,1,1,0
2.302738,1788209084.508037,41.7850,39.7129,39.7129,4.9042,3.1996,1,1,0
2.310348,1788209084.516768,41.3858,39.8043,39.8043,5.0242,3.3199,1,1,0
2.318431,1788209084.524377,41.4260,39.8820,39.8820,5.1442,3.4391,1,1,0
2.325676,1788209084.532460,41.6183,39.9700,39.9700,5.2642,3.5561,1,1,0
